duration,protocol_type,service,flag,src_bytes,dst_bytes,label
0.9177,icmp,http,SF,2599,1036,normal
40.1051,tcp,http,S0,43157,0,anomaly
0.818,udp,smtp,SF,2423,4773,normal
0.8738,tcp,domain_u,SF,1338,3316,normal
0.1513,icmp,ftp_data,SF,4378,2604,normal
0.1159,icmp,finger,SF,1474,2035,normal
0.9455,icmp,domain_u,SF,3029,2138,normal
0.6713,icmp,smtp,SF,4808,3705,normal
0.0011,udp,domain_u,SF,4376,3654,normal
17.2167,tcp,http,S0,32447,0,anomaly
0.4981,udp,ftp_data,SF,993,1511,normal
0.9102,icmp,finger,SF,2288,4821,normal
0.8873,udp,finger,SF,3954,4123,normal
0.0496,udp,ftp_data,SF,4901,2228,normal
0.5573,udp,finger,SF,4612,818,normal
0.9763,tcp,ftp_data,SF,4054,3468,normal
0.7952,udp,finger,SF,3733,1604,normal
0.0595,tcp,finger,SF,1557,2892,normal
0.5267,icmp,ftp_data,SF,4250,1137,normal
0.2558,icmp,domain_u,SF,3889,1373,normal
0.378,tcp,http,SF,4055,2955,normal
0.7505,icmp,http,SF,4586,3644,normal
0.6724,tcp,smtp,SF,3459,3856,normal
0.5894,udp,ftp_data,SF,3076,3785,normal
0.5912,udp,smtp,SF,1468,1419,normal
24.2315,tcp,http,S0,36596,0,anomaly
27.8096,tcp,http,S0,88520,0,anomaly
0.1786,udp,finger,SF,3678,3350,normal
0.3512,udp,domain_u,SF,4983,4644,normal
0.4891,tcp,ftp_data,SF,4364,823,normal
0.4167,tcp,domain_u,SF,4753,2129,normal
